time,lat,lon,ele
2021-01-05 23:48:56+00:00,-32.89623769931495,151.66344394907355,28.6
2021-01-05 23:48:57+00:00,-32.89623434655368,151.66344864293933,29.8
2021-01-05 23:48:58+00:00,-32.896221270784736,151.66344101540744,30.2
2021-01-05 23:48:59+00:00,-32.896214816719294,151.66342156939209,30.6
2021-01-05 23:49:00+00:00,-32.89619252085686,151.66340874508023,30.2
2021-01-05 23:49:01+00:00,-32.896179696545005,151.66339508257806,42.4
2021-01-05 23:49:02+00:00,-32.89615849032998,151.6633891314268,42.0
2021-01-05 23:49:03+00:00,-32.89613929577172,151.66339005343616,35.2
2021-01-05 23:49:04+00:00,-32.89612957276404,151.66338896378875,31.8
2021-01-05 23:49:05+00:00,-32.89612437598407,151.66339776478708,30.8
2021-01-05 23:49:06+00:00,-32.89612848311663,151.66340488940477,29.4
2021-01-05 23:49:07+00:00,-32.896131835877895,151.66341385804117,16.6
2021-01-05 23:49:08+00:00,-32.896139211952686,151.66342140175402,23.6
2021-01-05 23:49:09+00:00,-32.896146504208446,151.66342433542013,25.8
2021-01-05 23:49:10+00:00,-32.89615010842681,151.66342249140143,27.6
2021-01-05 23:49:11+00:00,-32.896152287721634,151.66342341341078,27.6
2021-01-05 23:49:12+00:00,-32.89615538902581,151.66342416778207,28.4
2021-01-05 23:49:13+00:00,-32.896157233044505,151.66342467069626,27.8
2021-01-05 23:49:14+00:00,-32.8961574845016,151.6634247545153,27.8
2021-01-05 23:49:15+00:00,-32.89615664631128,151.66342844255269,28.6
2021-01-05 23:49:16+00:00,-32.896157652139664,151.66343078948557,29.0
2021-01-05 23:49:17+00:00,-32.896158657968044,151.66343146003783,29.2
2021-01-05 23:49:18+00:00,-32.89616083726287,151.6634313762188,29.4
2021-01-05 23:49:19+00:00,-32.89616226218641,151.6634297836572,29.4
2021-01-05 23:49:20+00:00,-32.89616268128157,151.66342827491462,29.0
2021-01-05 23:49:21+00:00,-32.89616284891963,151.66342500597239,28.6
2021-01-05 23:49:22+00:00,-32.89616301655769,151.66342416778207,28.4
2021-01-05 23:49:23+00:00,-32.89616377092898,151.66342441923916,28.4
2021-01-05 23:49:24+00:00,-32.896165112033486,151.66342433542013,28.2
2021-01-05 23:49:25+00:00,-32.89616469293833,151.66342492215335,28.2
2021-01-05 23:49:26+00:00,-32.89616469293833,151.66342483833432,28.2
2021-01-05 23:49:27+00:00,-32.89616586640477,151.663424000144,28.2
2021-01-05 23:49:28+00:00,-32.89616611786187,151.66342458687723,27.8
2021-01-05 23:49:29+00:00,-32.89616712369025,151.66342416778207,27.8
2021-01-05 23:49:30+00:00,-32.89616829715669,151.66342643089592,27.8
2021-01-05 23:49:31+00:00,-32.896171398460865,151.66342710144818,28.0
2021-01-05 23:49:32+00:00,-32.896173410117626,151.66343011893332,28.0
2021-01-05 23:49:33+00:00,-32.89617424830794,151.66343363933265,28.0
2021-01-05 23:49:34+00:00,-32.89617558941245,151.66343833319843,27.8
2021-01-05 23:49:35+00:00,-32.89617693051696,151.663439841941,27.6
2021-01-05 23:49:36+00:00,-32.89617609232664,151.66344403289258,27.6
2021-01-05 23:49:37+00:00,-32.896178187802434,151.66344512254,27.4
2021-01-05 23:49:38+00:00,-32.896179193630815,151.66344654746354,27.4
2021-01-05 23:49:39+00:00,-32.89617936126888,151.66344579309225,27.4
2021-01-05 23:49:40+00:00,-32.89617961272597,151.66344495490193,27.4
2021-01-05 23:49:41+00:00,-32.89617936126888,151.6634462121874,27.4
2021-01-05 23:49:42+00:00,-32.89618003182113,151.66344495490193,27.6
2021-01-05 23:49:43+00:00,-32.89618045091629,151.66344679892063,27.6
2021-01-05 23:49:44+00:00,-32.896182211115956,151.663447804749,27.8
2021-01-05 23:49:45+00:00,-32.89618246257305,151.66344746947289,27.8
2021-01-05 23:49:46+00:00,-32.89618187583983,151.6634446196258,27.8
2021-01-05 23:49:47+00:00,-32.896181121468544,151.66344294324517,27.8
2021-01-05 23:49:48+00:00,-32.89618045091629,151.66344202123582,27.8
2021-01-05 23:49:49+00:00,-32.89618028327823,151.66344210505486,27.8
2021-01-05 23:49:50+00:00,-32.89618003182113,151.66344042867422,27.8
2021-01-05 23:49:51+00:00,-32.89618128910661,151.66343866847456,27.8
2021-01-05 23:49:52+00:00,-32.896182211115956,151.66343715973198,27.8
2021-01-05 23:49:53+00:00,-32.896182630211115,151.66343305259943,27.8
2021-01-05 23:49:54+00:00,-32.896182630211115,151.66343196295202,27.8
2021-01-05 23:49:55+00:00,-32.89618296548724,151.66343229822814,27.8
2021-01-05 23:49:56+00:00,-32.89618279784918,151.66343330405653,27.6
2021-01-05 23:49:57+00:00,-32.896183636039495,151.66343414224684,27.4
2021-01-05 23:49:58+00:00,-32.8961833845824,151.66343472898006,27.4
2021-01-05 23:49:59+00:00,-32.89618271403015,151.66343397460878,27.4
2021-01-05 23:50:00+00:00,-32.896182630211115,151.66343389078975,27.6
2021-01-05 23:50:01+00:00,-32.89618254639208,151.6634334716946,27.8
2021-01-05 23:50:02+00:00,-32.89618246257305,151.6634334716946,27.8
2021-01-05 23:50:03+00:00,-32.896182211115956,151.6634327173233,27.8
2021-01-05 23:50:04+00:00,-32.89618145674467,151.66343154385686,28.0
2021-01-05 23:50:05+00:00,-32.896180702373385,151.6634306218475,28.2
2021-01-05 23:50:06+00:00,-32.896180702373385,151.6634300351143,28.2
2021-01-05 23:50:07+00:00,-32.8961799480021,151.66343070566654,28.4
2021-01-05 23:50:08+00:00,-32.89618011564016,151.66343095712364,32.0
